epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,3848.85,0.80205,0.36113,0.00431,0.96425,0.94963,0.97825,0.68981,1.11796,0.33736,0.00885,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
92,3890.84,0.81857,0.3666,0.00436,0.96668,0.95536,0.97782,0.7163,0.99947,0.31259,0.00817,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991
93,3932.42,0.81266,0.36118,0.00431,0.95276,0.95754,0.97827,0.72302,0.98422,0.31279,0.00818,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
94,3974.71,0.81913,0.36265,0.0043,0.97547,0.94614,0.98002,0.70652,1.07628,0.32029,0.00863,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793
95,4016.5,0.81469,0.35909,0.0043,0.9719,0.95184,0.97889,0.71214,1.03603,0.31414,0.00839,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
96,4058.49,0.79716,0.35162,0.00427,0.97916,0.94244,0.9783,0.67528,1.16639,0.34155,0.00889,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
97,4100.42,0.80302,0.35979,0.0042,0.97082,0.94829,0.98064,0.68668,1.11816,0.3395,0.00858,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
98,4142.19,0.7998,0.35474,0.00428,0.96702,0.95893,0.98043,0.68116,1.16434,0.33684,0.00886,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397
99,4183.85,0.80205,0.35511,0.00432,0.97151,0.95912,0.98028,0.70212,1.08033,0.32852,0.00849,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
100,4226.05,0.79509,0.35386,0.00415,0.97526,0.95323,0.98026,0.70676,1.07093,0.32317,0.00866,0.0270597,0.0090199,0.0270597,0.0090199,0.0270597,0.0090199,0.0270597,0.0090199
101,4268.09,0.81661,0.35602,0.00432,0.97639,0.95546,0.97905,0.69606,1.11,0.32437,0.00876,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
102,4309.96,0.80529,0.35211,0.00424,0.9766,0.94947,0.98058,0.72574,1.00153,0.30561,0.0083,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001
103,4351.69,0.80623,0.35678,0.0043,0.96426,0.94658,0.97798,0.72075,1.01284,0.31607,0.00808,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
104,4393.36,0.80457,0.35285,0.00423,0.96609,0.95383,0.97746,0.71337,1.03693,0.31011,0.00827,0.0269409,0.0089803,0.0269409,0.0089803,0.0269409,0.0089803,0.0269409,0.0089803
105,4435.09,0.80365,0.35676,0.00436,0.96941,0.9409,0.97955,0.717,1.0354,0.31472,0.00824,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
106,4477.27,0.79551,0.34991,0.0042,0.97216,0.96347,0.98233,0.7056,1.06918,0.31044,0.00858,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
107,4519.03,0.81278,0.35545,0.00433,0.9809,0.96122,0.98214,0.71667,1.03338,0.30174,0.00829,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
108,4561.07,0.79803,0.34867,0.00427,0.97797,0.95163,0.9795,0.7109,1.04606,0.30949,0.00833,0.0268221,0.0089407,0.0268221,0.0089407,0.0268221,0.0089407,0.0268221,0.0089407
109,4603.03,0.79606,0.35039,0.00429,0.97819,0.94982,0.98016,0.69241,1.12332,0.32394,0.00869,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
110,4644.86,0.79051,0.34004,0.00412,0.9767,0.95225,0.97814,0.70875,1.07298,0.31483,0.0086,0.0267627,0.0089209,0.0267627,0.0089209,0.0267627,0.0089209,0.0267627,0.0089209
111,4686.75,0.79373,0.3446,0.00418,0.97446,0.95531,0.98287,0.70191,1.10012,0.31617,0.0087,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
112,4728.62,0.80846,0.35001,0.00427,0.97859,0.95656,0.98239,0.71699,1.04314,0.30307,0.00825,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011
113,4770.38,0.79903,0.34891,0.00421,0.96937,0.95785,0.98263,0.71894,1.02694,0.30417,0.00812,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
114,4812.37,0.79425,0.34626,0.00417,0.96458,0.96663,0.98274,0.72614,1.00429,0.30185,0.00804,0.0266439,0.0088813,0.0266439,0.0088813,0.0266439,0.0088813,0.0266439,0.0088813
115,4854.44,0.79388,0.35053,0.00421,0.97017,0.95637,0.98294,0.71452,1.05343,0.30205,0.00828,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
116,4896.67,0.79341,0.34333,0.00424,0.9762,0.96308,0.98124,0.68853,1.1549,0.32426,0.00879,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
117,4938.63,0.79778,0.36066,0.00418,0.97832,0.95641,0.9842,0.70027,1.13007,0.31951,0.00854,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
118,4980.69,0.78245,0.34539,0.00413,0.98197,0.95872,0.9833,0.71426,1.0704,0.30382,0.0082,0.0265251,0.0088417,0.0265251,0.0088417,0.0265251,0.0088417,0.0265251,0.0088417
119,5022.72,0.78695,0.34678,0.00421,0.97435,0.95793,0.98304,0.69527,1.14036,0.3234,0.00851,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
120,5064.65,0.79363,0.34733,0.00415,0.97991,0.96379,0.98482,0.69942,1.1281,0.31335,0.00858,0.0264657,0.0088219,0.0264657,0.0088219,0.0264657,0.0088219,0.0264657,0.0088219
121,5106.56,0.78953,0.3385,0.00422,0.98024,0.95906,0.98497,0.72143,1.01978,0.29634,0.00807,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
122,5148.61,0.79037,0.34406,0.00422,0.97213,0.95967,0.98331,0.72392,1.00104,0.29848,0.008,0.0264063,0.0088021,0.0264063,0.0088021,0.0264063,0.0088021,0.0264063,0.0088021
123,5190.54,0.79877,0.34796,0.00423,0.97448,0.95164,0.98473,0.72652,0.99466,0.30109,0.008,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
124,5232.87,0.79616,0.34925,0.00428,0.96391,0.96343,0.9823,0.71545,1.03883,0.30732,0.00825,0.0263469,0.0087823,0.0263469,0.0087823,0.0263469,0.0087823,0.0263469,0.0087823
125,5274.63,0.79096,0.33874,0.00423,0.97335,0.95932,0.98271,0.69374,1.13502,0.32944,0.00869,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
126,5316.51,0.79022,0.33883,0.00421,0.97812,0.96137,0.98259,0.70555,1.09286,0.31076,0.00845,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
127,5358.27,0.79349,0.34482,0.00412,0.97964,0.95865,0.98399,0.70747,1.06986,0.30882,0.00841,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
